+--------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------+
| Variable_name                                          | Value                                                                                                                                          |
+--------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------+
| Aborted_clients                                        | 288071                                                                                                                                         |
| Aborted_connects                                       | 0                                                                                                                                              |
| Aborted_connects_preauth                               | 0                                                                                                                                              |
| Access_denied_errors                                   | 0                                                                                                                                              |
| Acl_column_grants                                      | 0                                                                                                                                              |
| Acl_database_grants                                    | 36                                                                                                                                             |
| Acl_function_grants                                    | 0                                                                                                                                              |
| Acl_procedure_grants                                   | 0                                                                                                                                              |
| Acl_package_spec_grants                                | 0                                                                                                                                              |
| Acl_package_body_grants                                | 0                                                                                                                                              |
| Acl_proxy_users                                        | 1                                                                                                                                              |
| Acl_role_grants                                        | 0                                                                                                                                              |
| Acl_roles                                              | 0                                                                                                                                              |
| Acl_table_grants                                       | 23                                                                                                                                             |
| Acl_users                                              | 16                                                                                                                                             |
| Aria_pagecache_blocks_not_flushed                      | 0                                                                                                                                              |
| Aria_pagecache_blocks_unused                           | 15636                                                                                                                                          |
| Aria_pagecache_blocks_used                             | 40                                                                                                                                             |
| Aria_pagecache_read_requests                           | 72462                                                                                                                                          |
| Aria_pagecache_reads                                   | 369                                                                                                                                            |
| Aria_pagecache_write_requests                          | 2284                                                                                                                                           |
| Aria_pagecache_writes                                  | 995                                                                                                                                            |
| Aria_transaction_log_syncs                             | 0                                                                                                                                              |
| Binlog_commits                                         | 0                                                                                                                                              |
| Binlog_group_commits                                   | 0                                                                                                                                              |
| Binlog_group_commit_trigger_count                      | 0                                                                                                                                              |
| Binlog_group_commit_trigger_lock_wait                  | 0                                                                                                                                              |
| Binlog_group_commit_trigger_timeout                    | 0                                                                                                                                              |
| Binlog_snapshot_file                                   |                                                                                                                                                |
| Binlog_snapshot_position                               | 0                                                                                                                                              |
| Binlog_bytes_written                                   | 0                                                                                                                                              |
| Binlog_cache_disk_use                                  | 0                                                                                                                                              |
| Binlog_cache_use                                       | 996                                                                                                                                            |
| Binlog_stmt_cache_disk_use                             | 0                                                                                                                                              |
| Binlog_stmt_cache_use                                  | 0                                                                                                                                              |
| Busy_time                                              | 79568.058395                                                                                                                                   |
| Bytes_received                                         | 54387453346                                                                                                                                    |
| Bytes_sent                                             | 175773218758                                                                                                                                   |
| Column_compressions                                    | 0                                                                                                                                              |
| Column_decompressions                                  | 0                                                                                                                                              |
| Com_admin_commands                                     | 22128941                                                                                                                                       |
| Com_alter_db                                           | 0                                                                                                                                              |
| Com_alter_db_upgrade                                   | 0                                                                                                                                              |
| Com_alter_event                                        | 0                                                                                                                                              |
| Com_alter_function                                     | 0                                                                                                                                              |
| Com_alter_procedure                                    | 0                                                                                                                                              |
| Com_alter_server                                       | 0                                                                                                                                              |
| Com_alter_sequence                                     | 0                                                                                                                                              |
| Com_alter_table                                        | 5028                                                                                                                                           |
| Com_alter_tablespace                                   | 0                                                                                                                                              |
| Com_alter_user                                         | 0                                                                                                                                              |
| Com_analyze                                            | 0                                                                                                                                              |
| Com_assign_to_keycache                                 | 0                                                                                                                                              |
| Com_backup                                             | 0                                                                                                                                              |
| Com_backup_lock                                        | 0                                                                                                                                              |
| Com_begin                                              | 0                                                                                                                                              |
| Com_binlog                                             | 0                                                                                                                                              |
| Com_call_procedure                                     | 0                                                                                                                                              |
| Com_change_db                                          | 170                                                                                                                                            |
| Com_change_master                                      | 0                                                                                                                                              |
| Com_check                                              | 0                                                                                                                                              |
| Com_checksum                                           | 0                                                                                                                                              |
| Com_commit                                             | 787                                                                                                                                            |
| Com_compound_sql                                       | 0                                                                                                                                              |
| Com_create_db                                          | 0                                                                                                                                              |
| Com_create_event                                       | 0                                                                                                                                              |
| Com_create_function                                    | 0                                                                                                                                              |
| Com_create_index                                       | 1                                                                                                                                              |
| Com_create_package                                     | 0                                                                                                                                              |
| Com_create_package_body                                | 0                                                                                                                                              |
| Com_create_procedure                                   | 0                                                                                                                                              |
| Com_create_role                                        | 0                                                                                                                                              |
| Com_create_sequence                                    | 0                                                                                                                                              |
| Com_create_server                                      | 0                                                                                                                                              |
| Com_create_table                                       | 8                                                                                                                                              |
| Com_create_temporary_table                             | 0                                                                                                                                              |
| Com_create_trigger                                     | 0                                                                                                                                              |
| Com_create_udf                                         | 0                                                                                                                                              |
| Com_create_user                                        | 0                                                                                                                                              |
| Com_create_view                                        | 0                                                                                                                                              |
| Com_dealloc_sql                                        | 0                                                                                                                                              |
| Com_delete                                             | 760841                                                                                                                                         |
| Com_delete_multi                                       | 0                                                                                                                                              |
| Com_do                                                 | 0                                                                                                                                              |
| Com_drop_db                                            | 0                                                                                                                                              |
| Com_drop_event                                         | 0                                                                                                                                              |
| Com_drop_function                                      | 0                                                                                                                                              |
| Com_drop_index                                         | 0                                                                                                                                              |
| Com_drop_procedure                                     | 0                                                                                                                                              |
| Com_drop_package                                       | 0                                                                                                                                              |
| Com_drop_package_body                                  | 0                                                                                                                                              |
| Com_drop_role                                          | 0                                                                                                                                              |
| Com_drop_server                                        | 0                                                                                                                                              |
| Com_drop_sequence                                      | 0                                                                                                                                              |
| Com_drop_table                                         | 0                                                                                                                                              |
| Com_drop_temporary_table                               | 0                                                                                                                                              |
| Com_drop_trigger                                       | 0                                                                                                                                              |
| Com_drop_user                                          | 0                                                                                                                                              |
| Com_drop_view                                          | 0                                                                                                                                              |
| Com_empty_query                                        | 0                                                                                                                                              |
| Com_execute_immediate                                  | 0                                                                                                                                              |
| Com_execute_sql                                        | 0                                                                                                                                              |
| Com_flush                                              | 276                                                                                                                                            |
| Com_get_diagnostics                                    | 0                                                                                                                                              |
| Com_grant                                              | 0                                                                                                                                              |
| Com_grant_role                                         | 0                                                                                                                                              |
| Com_ha_close                                           | 0                                                                                                                                              |
| Com_ha_open                                            | 0                                                                                                                                              |
| Com_ha_read                                            | 0                                                                                                                                              |
| Com_help                                               | 0                                                                                                                                              |
| Com_insert                                             | 769221                                                                                                                                         |
| Com_insert_select                                      | 0                                                                                                                                              |
| Com_install_plugin                                     | 0                                                                                                                                              |
| Com_kill                                               | 1                                                                                                                                              |
| Com_load                                               | 0                                                                                                                                              |
| Com_lock_tables                                        | 1                                                                                                                                              |
| Com_multi                                              | 0                                                                                                                                              |
| Com_optimize                                           | 0                                                                                                                                              |
| Com_preload_keys                                       | 0                                                                                                                                              |
| Com_prepare_sql                                        | 0                                                                                                                                              |
| Com_purge                                              | 0                                                                                                                                              |
| Com_purge_before_date                                  | 0                                                                                                                                              |
| Com_release_savepoint                                  | 0                                                                                                                                              |
| Com_rename_table                                       | 0                                                                                                                                              |
| Com_rename_user                                        | 0                                                                                                                                              |
| Com_repair                                             | 0                                                                                                                                              |
| Com_replace                                            | 0                                                                                                                                              |
| Com_replace_select                                     | 0                                                                                                                                              |
| Com_reset                                              | 0                                                                                                                                              |
| Com_resignal                                           | 0                                                                                                                                              |
| Com_revoke                                             | 0                                                                                                                                              |
| Com_revoke_all                                         | 0                                                                                                                                              |
| Com_revoke_role                                        | 0                                                                                                                                              |
| Com_rollback                                           | 1                                                                                                                                              |
| Com_rollback_to_savepoint                              | 0                                                                                                                                              |
| Com_savepoint                                          | 0                                                                                                                                              |
| Com_select                                             | 83896645                                                                                                                                       |
| Com_set_option                                         | 1259453566                                                                                                                                     |
| Com_show_authors                                       | 0                                                                                                                                              |
| Com_show_binlog_events                                 | 0                                                                                                                                              |
| Com_show_binlogs                                       | 0                                                                                                                                              |
| Com_show_charsets                                      | 0                                                                                                                                              |
